# ingredient id,compound id,Uniqueness
1392,906,4.1975287984573315
1259,861,3.4412027162758543
1079,673,2.1625390193483294
22,906,4.1975287984573315
103,906,4.1975287984573315
1005,906,4.1975287984573315
1005,278,3.54883338046822
1005,171,3.32568982915401
371,387,3.3440389678222067
371,165,3.0155349008501706
371,1099,6.639875833826536
371,375,3.7495040759303713
371,519,2.3091424935402047
371,587,3.836515452920001
371,171,3.32568982915401
382,847,2.553899521274952
382,611,3.5953533961031128
1249,724,1.9859154836690125
1097,204,3.7495040759303713
1097,94,4.768073656924944
281,94,4.768073656924944
27,165,3.0155349008501706
564,64,4.693965684771222
307,288,3.836515452920001
307,577,4.388584035220041
307,136,1.6875761167432435
279,602,2.8903717578961645
1459,238,6.639875833826536
521,797,5.94672865326659
818,283,5.030437921392435
65,635,6.639875833826536
358,540,3.8672871115867546
11,700,3.8672871115867546
1288,1052,5.541263545158426
1303,608,4.624972813284271
896,1026,3.644143560272545
1500,599,1.9393954680341194
18,541,2.5968245659919855
18,72,3.22214915021317
18,107,2.844386644654341
18,195,3.1433682723600556
18,669,4.000818504211277
18,871,3.362731100834359
18,1064,1.8317648038417542
18,890,2.1625390193483294
18,568,3.6954368546600955
1047,387,3.3440389678222067
1047,375,3.7495040759303713
1047,166,2.9509963797125995
1047,519,2.3091424935402047
1047,587,3.836515452920001
1047,171,3.32568982915401
600,155,4.037186148382152
600,347,4.624972813284271
1205,155,4.037186148382152
1341,448,5.541263545158426
1477,711,6.639875833826536
1272,29,6.234410725718371
979,29,6.234410725718371
979,166,2.9509963797125995
979,703,2.8556861999082748
979,951,4.0749264763649995
812,29,6.234410725718371
812,166,2.9509963797125995
981,406,3.0289579211823114
981,997,3.54883338046822
981,542,5.541263545158426
981,913,3.644143560272545
981,611,3.5953533961031128
981,283,5.030437921392435
981,148,4.693965684771222
981,166,2.9509963797125995
981,583,3.6194509476821732
981,1029,3.722105101742257
981,288,3.836515452920001
981,607,5.030437921392435
829,913,3.644143560272545
397,549,2.1456372085457263
397,791,3.4828754126764228
397,599,1.9393954680341194
397,496,5.135798437050262
68,791,3.4828754126764228
68,599,1.9393954680341194
68,496,5.135798437050262
708,109,6.639875833826536
708,247,4.442651256490317
708,429,4.241980561028165
492,620,3.7495040759303713
99,762,5.94672865326659
99,347,4.624972813284271
1087,91,3.4828754126764228
1087,918,2.185528537573028
1135,91,3.4828754126764228
1040,791,3.4828754126764228
1456,292,1.6325794409957948
1056,260,3.2554855704807615
1056,524,1.753293188400259
725,793,2.4277482359480516
725,673,2.1625390193483294
725,974,3.836515452920001
725,995,2.6145241430913866
420,793,2.4277482359480516
420,673,2.1625390193483294
420,995,2.6145241430913866
1229,612,3.669461368256835
1229,424,1.957744606702316
1229,177,2.2641188121662497
1229,709,4.499809670330265
1229,256,3.3817792958050537
1229,370,3.8066624897703196
1229,476,5.030437921392435
1229,886,2.7897282321164774
1229,950,6.639875833826536
1229,759,4.499809670330265
1229,657,1.7126221486693312
1229,701,6.234410725718371
1229,384,2.2895978974672344
462,612,3.669461368256835
462,256,3.3817792958050537
462,370,3.8066624897703196
462,424,1.957744606702316
